,features,positive coefficient
0,num__fico,-0.1034
1,num__credit.policy,-0.101
2,num__log.annual.inc,-0.0533
3,cat__purpose_credit_card,-0.0262
4,cat__purpose_debt_consolidation,-0.0234
5,num__days.with.cr.line,-0.0178
6,cat__purpose_major_purchase,-0.0088
7,num__delinq.2yrs,-0.0033
8,num__dti,0.0019
9,cat__purpose_educational,0.0052
10,cat__purpose_all_other,0.0088
11,cat__purpose_home_improvement,0.0101
12,cat__purpose_small_business,0.0349
13,num__pub.rec,0.0401
14,num__revol.bal,0.044
15,num__revol.util,0.0451
16,num__installment,0.0621
17,num__inq.last.6mths,0.1105
18,num__int.rate,0.1193
